NO,NAME,CODE,LAST DONE,VOL ('00)
319,LTKM ,7085,1.14,"1,332"
320,LUSTER ,5068,0.15,"24,593"
321,LUXCHEM ,5143,0.74,"14,318"
322,LYC ,75,0.31,"8,172"
323,M3TECH ,17,0.06,"2,049"
324,MACPIE ,140,0.09,"107,001"
325,MAG ,95,0.17,"13,859"
326,MAGNA ,7617,0.53,901
327,MAGNI ,7087,2.21,"2,299"
328,MAHSING ,8583,0.8,"34,598"
329,MALAKOF ,5264,0.875,"4,636"
330,MALTON ,6181,0.495,"4,957"
331,MASTEEL ,5098,0.515,"28,388"
332,MASTER ,7029,1.76,"4,447"
333,MATRIX ,5236,2.07,"2,072"
334,MAXIM ,4022,0.275,"3,438"
335,MAXIS ,6012,4.72,"15,722"
336,MBL ,5152,0.535,"3,633"
337,MBMR ,5983,3.25,"1,154"
338,MCEMENT ,3794,2.89,"3,360"
339,MCLEAN ,167,0.405,"7,845"
340,MCT ,5182,0.22,"25,613"
341,MEDIAC ,5090,0.18,"4,321"
342,MEGASUN ,81,0.13,"20,205"
343,MELEWAR ,3778,0.525,"65,158"
344,MENTIGA ,5223,0.73,"1,716"
345,MERIDIAN ,5040,0.165,"12,323"
346,MESB ,7234,0.495,"6,710"
347,MESTRON ,207,0.33,"46,105"
348,MFCB ,3069,3.51,"13,642"
349,MFLOUR ,3662,0.8,"34,085"
350,MGRC ,155,2.3,"98,087"
351,MHB ,5186,0.4,"5,034"
352,MHC ,5026,0.925,"12,588"
353,MHCARE ,3005,0.97,"1,000"
355,MICROLN ,126,0.6,"6,559"
356,MIECO ,5001,0.51,"1,546"
357,MIKROMB ,112,0.225,"8,320"
358,MILUX ,7935,0.7,"1,076"
359,MINDA ,5166,0.09,"5,918"
360,MINETEC ,7219,0.135,"98,928"
361,MINHO ,5576,0.335,"43,494"
362,MISC ,3816,6.97,"25,688"
363,MITRA ,9571,0.255,"2,205"
364,MKH ,6114,1.31,565
365,MKLAND ,8893,0.205,"1,285"
366,MMAG ,34,0.095,"61,312"
367,MMCCORP ,2194,1.86,"37,981"
368,MMSV ,113,1.05,"26,468"
369,MOBILIA ,229,0.435,"44,714"
370,MPAY ,156,0.265,"118,123"
