Ticker,Description,Change,Change %,Last,1-Month High,3-Month High,52 Week High,All Time High,Rating,Volume,Market Capitalization,Sector
MHB,MALAYSIA MARINE AND HEAVY ENG,0.01,2.53164557,0.405,0.435,0.49,0.745,8.82,Buy,1011100,632000017,Industrial Services
MHC,MHC PLANTATIONS BHD,0.045,5.17241379,0.915,0.99,0.99,0.99,1.542845,Strong Buy,616400,170993260,Process Industries
MHCARE,METRO HEALTHCARE BERHAD,0,0,1.23,1.23,1.23,1.23,1.23,Buy,0,252851113,Health Services
MI,MI TECHNOVATION BERHAD,-0.04,-1.06951872,3.7,4.05,4.44,5.52,5.52,Sell,946300,3351040009,Producer Manufacturing
MICROLN,MICROLINK SOLUTIONS BHD,-0.02,-3.2,0.605,0.63,0.67,0.7125,0.7125,Sell,23200,606475868,Technology Services
MIECO,MIECO CHIPBOARD BHD,0.005,1,0.505,0.52,0.575,0.7,0.79,Neutral,162200,419999969,Non-Energy Minerals
MIKROMB,MIKRO MSC BERHAD,-0.005,-2.3255814,0.21,0.235,0.25,0.315,0.595,Sell,10000,126683621,Electronic Technology
MILUX,MILUX CORPORATION BHD,0,0,0.665,0.725,0.81,0.82,1.525,Neutral,36800,156312762,Consumer Durables
MINDA,MINDA GLOBAL BERHAD,-0.005,-6.25,0.075,0.095,0.12,0.2,4.3,Strong Sell,1281500,105752459,Consumer Services
MINETEC,MINETECH RESOURCES BHD,0.005,4.54545455,0.115,0.15,0.16,0.25,0.355,Sell,1561600,128186160,Industrial Services
MINHO,MINHO (M) BHD,0.005,1.61290323,0.315,0.34,0.355,0.475,2.76597,Sell,316400,110584545,Non-Energy Minerals
MISC,MISC BHD,0.17,2.4602026,7.08,7.3,7.3,7.88,10.037664,Strong Buy,1314300,30844484834,Transportation
MITRA,MITRAJAYA HOLDINGS BHD,-0.005,-2,0.245,0.27,0.27,0.36,0.940212,Strong Sell,286400,205719742,Industrial Services
MJPERAK,MAJUPERAK HOLDINGS BHD,-0.015,-4.10958904,0.35,0.39,0.405,0.515,0.93,Strong Sell,31100,103813987,Finance
MKH,MKH BERHAD,0.02,1.5503876,1.31,1.36,1.36,1.59,3.560531,Buy,399000,744866481,Finance
MKLAND,MK LAND HOLDINGS BHD,-0.005,-2.5,0.195,0.225,0.225,0.295,3.48,Sell,278800,240917924,Finance
MLAB,MLABS SYSTEMS BHD,0.005,12.5,0.045,0.05,0.05,0.301785,2.483925,Buy,3200500,57976366,Consumer Durables
MMAG,MMAG HOLDINGS BERHAD,0,0,0.1,0.11,0.16,0.585,2.341968,Neutral,2296700,131246987.00000000,Technology Services
MMCCORP,MMC CORPORATION BHD,0,0,1.95,1.97,1.97,1.97,4.925,Buy,10240300,5937864403,Utilities
MMIS,MMIS BERHAD,0,0,0.3,0.3,0.3,0.3,0.3,Strong Buy,0,180000007,Producer Manufacturing
MMSV,MMS VENTURES BHD,-0.01,-0.92592593,1.07,1.29,1.29,1.44,1.64,Neutral,1642600,214238005,Producer Manufacturing
MNC,M N C WIRELESS BERHAD,0,0,0.03,0.035,0.04,0.07,0.51375,Sell,283000,52764220,Communications
MNRB,MNRB HOLDINGS BHD,-0.01,-0.78125,1.27,1.31,1.44,1.47,3.594013,Neutral,292700,1002350993,Finance
MOBILIA,MOBILIA HOLDINGS BERHAD,0.01,2.27272727,0.45,0.485,0.575,0.76,0.76,Sell,2046000,175999999,Consumer Durables
MPAY,MANAGEPAY SYSTEMS BERHAD,-0.01,-4.16666667,0.23,0.275,0.295,0.32,0.385,Sell,6528200,206728487,Technology Services
MPCORP,MALAYSIA PACIFIC CORP BHD,0,0,0.125,0.155,0.175,0.24,0.686843,Sell,237900,35957474,Finance
MPHBCAP,MPHB CAPITAL BERHAD,-0.06,-4.16666667,1.38,1.55,1.61,1.76,2.74,Sell,28700,1029600041.0000000,Miscellaneous
MPI,MALAYSIAN PACIFIC INDUSTRIES,-0.779999,-1.74106924,44.02,47.599998,47.599998,47.599998,47.599998,Sell,461400,8865759615,Electronic Technology
MQTECH,MQ TECHNOLOGY BHD,0,0,0.065,0.09,0.09,0.185,0.71925,Neutral,1204900,55056950,Producer Manufacturing
MRCB,MALAYSIAN RESOURCES CORPORATION BERHAD,0,0,0.395,0.43,0.43,0.53,2.634066,Sell,1234300,1764666212,Finance
MRDIY,MR D.I.Y. GROUP (M) BERHAD,0.01,0.26737968,3.75,3.98,3.98,4.38,4.38,Sell,5185100,23474484425,Distribution Services
MSC,MALAYSIA SMELTING CORPORATION,0,0,2.15,2.41,2.49,2.93,2.93,Sell,1294200,903000040,Producer Manufacturing
MSM,MSM MALAYSIA HOLDINGS BERHAD,0.02,1.22699387,1.65,1.8,1.8,2.09,6.1,Buy,1991700,1145857265,Process Industries
MSNIAGA,MESINIAGA BHD,-0.04,-2.40963855,1.62,1.81,2,2.08,5.4,Buy,70800,100267326,Technology Services
MTAG,MTAG GROUP BERHAD,0,0,0.65,0.675,0.675,0.94,1.22,Buy,689800,443051314,Commercial Services
