NO,NAME,CODE,LAST DONE,VOL ('00),STOCK
186,ENCORP,6076,0.615,"178,193",6076.KL
187,ENEST,3025,-,-,3025.KL
188,ENGKAH,7149,0.605,150,7149.KL
189,ENGTEX,5056,0.62,"5,395",5056.KL
190,ENRA,8613,0.75,"2,159",8613.KL
191,EPMB,7773,0.455,"5,746",7773.KL
192,ESAFE,190,0.295,"19,743",0190.KL
193,EUPE,6815,0.81,"1,983",6815.KL
194,EURO,7208,0.425,"131,790",7208.KL
195,EUROSP,7094,1.3,"2,596",7094.KL
196,EVERGRN,5101,0.39,"5,596",5101.KL
197,EWEIN,7249,0.32,"7,266",7249.KL
198,EWINT,5283,0.445,"10,064",5283.KL
199,F&N,3689,26.64,355,3689.KL
200,FAJAR,7047,0.39,"9,942",7047.KL
201,FAREAST,5029,2.98,200,5029.KL
202,FAST,0084,0.23,"30,127",0084.KL
203,FAVCO,7229,2.27,583,7229.KL
204,FBBHD,3026,-,-,3026.KL
205,FGV,5222,1.39,"5,998",5222.KL
206,FIAMMA,6939,0.62,"4,367",6939.KL
207,FIHB,8605,0.6,"16,472",8605.KL
208,FIMACOR,3107,1.89,120,3107.KL
209,FITTERS,9318,0.38,"94,114",9318.KL
210,FLEXI,231,0.3,"1,262",0231.KL
211,FOCUSP,157,0.74,573,0157.KL
212,FPGROUP,5277,0.77,"5,248",5277.KL
213,FPI,9172,3.88,"10,460",9172.KL
214,FREIGHT,7210,0.78,"29,502",7210.KL
215,FRONTKN,128,3.5,"72,948",0128.KL
216,FSBM,9377,0.08,"7,662",9377.KL
217,G3,7184,0.075,"36,953",7184.KL
218,GADANG,9261,0.365,"12,036",9261.KL
219,GAMUDA,5398,2.98,"19,141",5398.KL
220,GASMSIA,5209,2.67,"1,153",5209.KL
221,GBGAQRS,5226,0.555,"11,642",5226.KL
222,GCAP,7676,0.655,"8,940",7676.KL
223,GCB,5102,2.98,"1,091",5102.KL
224,GDB,198,0.455,"25,173",0198.KL
225,GDEX,0078,0.3,"25,179",0078.KL
226,GENETEC,0104,35.72,"4,677",0104.KL
227,GENP,2291,6.95,"2,989",2291.KL
228,GESHEN,7197,1.78,"7,216",7197.KL
229,GETS,5079,1.59,328,5079.KL
230,GFM,0039,0.235,"53,197",0039.KL
231,GHLSYS,0021,1.9,"2,274",0021.KL
232,GIIB,7192,0.155,"15,360",7192.KL
233,GKENT,3204,0.655,"8,535",3204.KL
234,GLBHD,7382,0.42,1,7382.KL
235,GLOMAC,5020,0.335,"1,347",5020.KL
236,GLOTEC,5220,0.625,"30,382",5220.KL
237,GMUTUAL,9962,0.3,"1,600",9962.KL
238,GNB,0045,-,-,0045.KL
239,GOB,1147,0.29,"2,227",1147.KL
240,GOCEAN,0074,0.045,"93,521",0074.KL
241,GOPENG,2135,0.485,115,2135.KL
242,GPHAROS,5649,0.35,"1,615",5649.KL
243,GPP,3029,-,-,3029.KL
244,GREATEC,208,6.95,"19,556",0208.KL
245,GREENYB,136,0.285,"27,366",0136.KL
246,GTRONIC,7022,2.07,"6,231",7022.KL
247,GUH,3247,0.515,"31,047",3247.KL
248,HAILY,237,0.54,"9,690",0237.KL
249,HANDAL,7253,0.23,"18,058",7253.KL
250,HARBOUR,2062,1.44,"203,912",2062.KL
251,HARNLEN,7501,0.805,"11,772",7501.KL
252,HARTA,5168,6,"51,393",5168.KL
253,HCK,7105,2,"1,704",7105.KL
254,HENGYUAN,4324,4.28,"4,799",4324.KL
255,HEVEA,5095,0.46,"4,976",5095.KL
256,HEXIND,161,0.135,"20,080",0161.KL
257,HEXTAR,5151,1.25,"41,858",5151.KL
258,HHGROUP,175,0.53,"7,962",0175.KL
259,HHHCORP,160,0.145,"54,248",0160.KL
260,HIAPTEK,5072,0.55,"332,012",5072.KL
261,HIBISCS,5199,0.71,"250,333",5199.KL
262,HIGHTEC,7033,2.02,"27,258",7033.KL
263,HIL,8443,-,-,8443.KL
264,HLIND,3301,8.87,186,3301.KL
265,HLT,188,0.565,"27,328",0188.KL
266,HOHUP,5169,0.37,"1,010",5169.KL
267,HOMERIZ,5160,0.57,"1,940",5160.KL
268,HONGSENG,0041,2.72,"87,900",0041.KL
269,HOOVER,7010,0.775,"1,723",7010.KL
270,HPMT,5291,0.57,"5,435",5291.KL
